CensusTract,State,Prog1,Prog2,Prog3,Prog4+more,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
36005041500,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005042901,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005044901,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005000100,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005000400,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005001600,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005008500,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005013000,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005013200,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005013500,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005013800,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005014300,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005014400,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005014900,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005015100,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005015500,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005016000,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005016100,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005016200,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005016300,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005016500,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005008900,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005009200,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005009800,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005008600,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005008700,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005011000,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005011502,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005002300,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005002400,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005002500,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005002702,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005002800,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005003500,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005003700,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005003900,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005004300,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005004400,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005004800,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005016700,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005016900,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005017300,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005016600,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005017500,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005018400,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005018900,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
36005019300,NY,Congestion Mitigation and Air Quality Improvement Program,Brownfields Projects,Local and Regional Project Assistance Grants (RAISE),Watershed and Flood Prevention Operations,79645.64697,"NYC Greenway Expansion; Brownfields Job Training: the HOPE Program; Bruckner Expwy-Hutchinson Pkwy Mobility Improvement Project; Cross Bronx Expressway Mobility Improvements, Active Traffic Demand Management; NYC Parks Community Gardens Irrigation System","N_HLTH, N-WKFC, TSDF_ET, TP_ET, N_WTR","Climate Change, Clean Transportation, Remediation & Reduction of Legacy Pollution, and Training & Workforce Development, Clean Water & Waste Infrastructure",
