CensusTract,State,Prog1,Prog2,Prog3,Prog4+more,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
13191110201,GA,Construction of Ferry Boats and Ferry Terminal Facilities,,,,56135,"Ferry Boat Program - State of Georgia, Department of Natural Resources",PM25_ET,Clean Transportation,
13191110300,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,680000,"SR 25 @ Darien River In Darien, Pe (preliminary engineering?)","N_CLT, TD_ET",Climate Change,X
13199970501,GA,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
13199970502,GA,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
13199970600,GA,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
13199970701,GA,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
13199970702,GA,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
13199970802,GA,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
13199970801,GA,Clean School Bus Program,,,,451428.57,Meriwether County,DS_ET,Clean Transportation,
13201950100,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,2056891.51,"SR 91 from Avenue Road to Griffin Sheffield Road, Mcst ","N_CLT, TD_ET",Climate Change ,X
13213010300,GA,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,8881000,"Carters Dam and Lake, GA",FLD_ET,"Climate Change, Clean Water & Waste Infrastructure",
13221960100,GA,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
13221960203,GA,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
13221960204,GA,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
13221960205,GA,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
13221960206,GA,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
13221960300,GA,Clean School Bus Program,,,,329166.67,Macon County,DS_ET,Clean Transportation,
13245010801,GA,Grants For States And Tribes For Voluntary Restoration,Low or No Emission (Bus) Grants,,,199156,"The Georgia Sentinel Landscape Futures Initiative, Low or No Emission - Augusta Richmond County","N_CLT, N_HLTH, TP_ET, PM25_ET","Climate Change, Clean Transportation ",
13245010802,GA,Grants For States And Tribes For Voluntary Restoration,Low or No Emission (Bus) Grants,,,199156,"The Georgia Sentinel Landscape Futures Initiative, Low or No Emission - Augusta Richmond County","N_CLT, N_HLTH, TP_ET, PM25_ET","Climate Change, Clean Transportation ",
13259950100,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,1479663.04,"SR 520/US 280 @ Cr 66/Red Hill Road, Mcst","N_CLT, TD_ET",Climate Change,X
13273120400,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,440000,"SR 55 @ Clarks Millpond Dam, Pe","N_CLT, TD_ET",Climate Change,X
13285961000,GA,Inland Flood Risk Management Projects,,,,7251000,"West Point Dam and Lake, GA & AL",FLD_ET,Climate Change,
13287970201,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,480000,"I-75 @ Cr 159/Alberson Road, Pe","N_CLT, TD_ET",Climate Change,X
13287970202,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,480000,"I-75 @ Cr 159/Alberson Road, Pe","N_CLT, TD_ET",Climate Change,X
13095010702,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",Watershed and Flood Prevention Operations,,,466921,"SR 520Bu @ Flint River In Albany, Row, Radium Springs Watershed","N_CLT, TD_ET, FLD_ET, EAL_ET","Climate Change, Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",X
13291000101,GA,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
13291000103,GA,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
13291000104,GA,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
13291000201,GA,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
13291000203,GA,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
13291000204,GA,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
13291000206,GA,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
13291000207,GA,Clean School Bus Program,,,,197500,Union County,DS_ET,Clean Transportation,
13317010101,GA,Clean School Bus Program,,,,583750,Wilkes County,DS_ET,Clean Transportation,
13317010102,GA,Clean School Bus Program,,,,583750,Wilkes County,DS_ET,Clean Transportation,
13317010301,GA,Clean School Bus Program,,,,583750,Wilkes County,DS_ET,Clean Transportation,
13317010302,GA,Clean School Bus Program,,,,583750,Wilkes County,DS_ET,Clean Transportation,
13051010701,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010811,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010704,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010705,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010707,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010702,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011008,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010820,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011007,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011114,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010810,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010706,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010703,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010816,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011006,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011005,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010806,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004210,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004212,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004211,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051990000,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011600,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011300,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051011400,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051002100,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010801,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004208,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004207,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004400,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004500,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010102,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051010200,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051980000,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051004300,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003000,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003502,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
13051003301,GA,Low or No Emission (Bus) Grants,Clean School Bus Program,,,174168.6818,Low or No Emission - Chatham Area Transit Authority; Savannah-Chatham County Public Schools,"PM25_ET, DS_ET",Clean Transportation,
